prod_est,coverage,type,year,month,concept,value_usd,status
Trade Balance of Goods of Mexico,National,Exports,2012,11,Total Exports,31468.922,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,11,Petroleum,4315.928,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,11,Crude Oil,3932.719,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,11,Other Oil,383.209,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,11,Non Petroleum,27152.994,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,11,Agrarian,875.844,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,11,Extractive,443.284,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,11,Manufacturing,25833.866,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,11,Total Imports,32716.357,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,11,Freight and insurance of imports,845.125,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,11,Total Imports CIF (Total Imports + Freight and Insurance of Imports),33561.482,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,11,Petroleum,3686.289,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,11,Non Petroleum,29030.068,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,11,Consumer Goods,5374.933,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,11,Intermediate Goods,23642.568,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,11,Capital Goods,3698.856,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,11,Total Trade Balance Exports Total - Imports Total,-1247.435,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,11,Total Trade Balance Exports Total - Imports Total CIF,-2092.56,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,12,Total Exports,30209.376,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,12,Petroleum,3911.398,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,12,Crude Oil,3519.09,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,12,Other Oil,392.308,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,12,Non Petroleum,26297.978,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,12,Agrarian,955.909,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,12,Extractive,365.657,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,12,Manufacturing,24976.412,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,12,Total Imports,29207.86,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,12,Freight and insurance of imports,748.091,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,12,Total Imports CIF (Total Imports + Freight and Insurance of Imports),29955.951,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,12,Petroleum,2856.513,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,12,Non Petroleum,26351.347,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,12,Consumer Goods,4170.05,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,12,Intermediate Goods,21632.114,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,12,Capital Goods,3405.696,Final Figures
