prod_est,coverage,type,year,month,concept,value_usd,status
Trade Balance of Goods of Mexico,National,Not applicable,2022,9,Total Trade Balance Exports Total - Imports Total,-909.993,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,9,Total Trade Balance Exports Total - Imports Total CIF,-2811.6568,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,10,Total Exports,49199.06,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,10,Petroleum,2800.125,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,10,Crude Oil,2394.275,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,10,Other Oil,405.849,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,10,Non Petroleum,46398.935,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,10,Agrarian,1523.525,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,10,Extractive,812.654,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,10,Manufacturing,44062.757,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,10,Total Imports,51287.15,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,10,Freight and insurance of imports,1824.9117,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,10,Total Imports CIF (Total Imports + Freight and Insurance of Imports),53112.0617,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,10,Petroleum,5310.209,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,10,Non Petroleum,45976.941,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,10,Consumer Goods,6630.353,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,10,Intermediate Goods,40352.132,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,10,Capital Goods,4304.664,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,10,Total Trade Balance Exports Total - Imports Total,-2088.09,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,10,Total Trade Balance Exports Total - Imports Total CIF,-3913.0017,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,11,Total Exports,49284.376,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,11,Petroleum,2451.784,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,11,Crude Oil,2182.115,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,11,Other Oil,269.67,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,11,Non Petroleum,46832.591,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,11,Agrarian,1783.762,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,11,Extractive,768.561,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,11,Manufacturing,44280.268,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,11,Total Imports,49407.417,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,11,Freight and insurance of imports,1684.0282,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,11,Total Imports CIF (Total Imports + Freight and Insurance of Imports),51091.4452,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,11,Petroleum,4580.265,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,11,Non Petroleum,44827.153,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,11,Consumer Goods,6254.992,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,11,Intermediate Goods,38777.812,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,11,Capital Goods,4374.613,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,11,Total Trade Balance Exports Total - Imports Total,-123.041,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,11,Total Trade Balance Exports Total - Imports Total CIF,-1807.0692,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,12,Total Exports,49321.996,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,12,Petroleum,2844.41,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,12,Crude Oil,1982.203,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,12,Other Oil,862.208,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,12,Non Petroleum,46477.585,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,12,Agrarian,2063.904,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,12,Extractive,892.937,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,12,Manufacturing,43520.744,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,12,Total Imports,48339.024,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,12,Freight and insurance of imports,1720.7249,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,12,Total Imports CIF (Total Imports + Freight and Insurance of Imports),50059.7489,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,12,Petroleum,5085.255,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,12,Non Petroleum,43253.769,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,12,Consumer Goods,6111.18,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,12,Intermediate Goods,37681.448,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,12,Capital Goods,4546.395,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,12,Total Trade Balance Exports Total - Imports Total,982.972,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,12,Total Trade Balance Exports Total - Imports Total CIF,-737.7528,Final Figures
